"","Accession","n","Protein.Group","Description","codes","B1","B2","B3","B5","B6","B4"
"486","tr|A0A551YHY0|A0A551YHY0_MICAE",2,2756,"Global nitrogen regulator NtcA OS=Microcystis aeruginosa Ma_QC_C_20070703_M131 OX=2486263 GN=ntcA PE=4 SV=1",2486263,NA,2,NA,NA,NA,NA
"487","tr|A0A552CJC9|A0A552CJC9_9CHRO",2,2756,"Global nitrogen regulator NtcA OS=Microcystis sp. Msp_OC_L_20101000_S702 OX=2486218 GN=ntcA PE=4 SV=1",2486218,NA,2,NA,NA,NA,NA
"488","tr|A0A552FIZ1|A0A552FIZ1_MICAE",2,2756,"Global nitrogen regulator NtcA OS=Microcystis aeruginosa Ma_QC_Ch_20071001_S25D OX=2486250 GN=ntcA PE=4 SV=1",2486250,NA,2,NA,NA,NA,NA
"489","tr|A0A552KE03|A0A552KE03_9CHRO",2,2756,"Global nitrogen regulator NtcA OS=Microcystis flos-aquae Mf_QC_C_20070823_S10D OX=2486236 GN=ntcA PE=4 SV=1",2486236,NA,2,NA,NA,NA,NA
"490","tr|A0A552QA31|A0A552QA31_9CHRO",2,2756,"Global nitrogen regulator NtcA OS=Microcystis panniformis Mp_MB_F_20051200_S9 OX=2486223 GN=ntcA PE=4 SV=1",2486223,NA,2,NA,NA,NA,NA
"491","tr|A0A552UAR5|A0A552UAR5_9SPHN",2,2940,"TonB-dependent receptor OS=Sandarakinorhabdus sp. LB1R16 OX=2593303 GN=FMM06_13380 PE=3 SV=1",2593303,3,NA,NA,NA,NA,2
"492","tr|A0A561HVT4|A0A561HVT4_9SPHN",4,2082,"Iron complex outermembrane receptor protein OS=Novosphingobium barchaimii OX=1420591 GN=FHW33_10357 PE=3 SV=1",1420591,NA,3,3,3,3,NA
"493","tr|A0A561P4W6|A0A561P4W6_XANCT",8,1239,"Putative surface protein with fasciclin (FAS1) repeats OS=Xanthomonas campestris pv. translucens OX=343 GN=FHW28_2795 PE=4 SV=1",343,5,4,4,3,2,5
"494","tr|A0A563W446|A0A563W446_9CYAN",2,2756,"Global nitrogen regulator OS=Hyella patelloides LEGE 07179 OX=945734 GN=ntcA PE=4 SV=1",945734,NA,2,NA,NA,NA,NA
"495","tr|A0A5B8IEZ3|A0A5B8IEZ3_9VIRU",2,2630,"Uncharacterized protein OS=Mimiviridae sp. ChoanoV1 OX=2596887 GN=1_303 PE=4 SV=1",2596887,NA,NA,NA,NA,4,3
"496","tr|A0A5B8IIU5|A0A5B8IIU5_9VIRU",2,2630,"Large eukaryotic DNA virus major capsid protein OS=Mimiviridae sp. ChoanoV1 OX=2596887 GN=5_19 PE=4 SV=1",2596887,NA,NA,NA,NA,4,3
"497","tr|A0A5B8NLT6|A0A5B8NLT6_9CHRO",9,272,"60 kDa chaperonin OS=Euhalothece natronophila Z-M001 OX=522448 GN=groL PE=3 SV=1",522448,9,16,20,10,7,NA
"498","tr|A0A5B8VD51|A0A5B8VD51_9BACT",5,1356,"SusC/RagA family TonB-linked outer membrane protein OS=Panacibacter ginsenosidivorans OX=1813871 GN=FRZ67_13130 PE=3 SV=1",1813871,3,5,4,NA,5,6
"499","tr|A0A5C0DVG5|A0A5C0DVG5_9CYAN",4,1101,"BMC domain-containing protein OS=Dolichospermum sp. UHCC 0315A OX=1914871 GN=BMF77_03194 PE=3 SV=1",1914871,NA,5,3,NA,NA,NA
"500","tr|A0A5C8ULG1|A0A5C8ULG1_9MICO",2,2604,"Flagellin OS=Lacisediminihabitans profunda OX=2594790 GN=FVP33_13635 PE=3 SV=1",2594790,NA,NA,NA,2,5,NA
"501","tr|A0A5C8UM10|A0A5C8UM10_9MICO",2,2633,"Carbohydrate ABC transporter  N-acetylglucosamine/diacetylchitobiose-binding protein OS=Lacisediminihabitans profunda OX=2594790 GN=ngcE PE=4 SV=1",2594790,NA,NA,NA,NA,4,3
"502","tr|A0A5C8UMK8|A0A5C8UMK8_9MICO",6,665,"Phosphoesterase OS=Lacisediminihabitans profunda OX=2594790 GN=FVP33_13275 PE=4 SV=1",2594790,7,4,9,12,11,5
"503","tr|A0A5C8US59|A0A5C8US59_9MICO",5,1941,"Uncharacterized protein OS=Lacisediminihabitans profunda OX=2594790 GN=FVP33_05590 PE=4 SV=1",2594790,3,NA,2,6,2,2
"504","tr|A0A5C8UUW4|A0A5C8UUW4_9MICO",5,2034,"50S ribosomal protein L7/L12 OS=Lacisediminihabitans profunda OX=2594790 GN=rplL PE=3 SV=1",2594790,NA,NA,NA,NA,4,2
"505","tr|A0A5E7ZIW1|A0A5E7ZIW1_9RHOB",2,1604,"30S ribosomal protein S19 OS=Roseovarius sp. EC-HK134 OX=2038394 GN=rpsS PE=3 SV=1",2038394,5,NA,14,NA,NA,NA
"506","tr|A0A5E8DDV0|A0A5E8DDV0_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. LW097 OX=1978566 GN=B7495_17575 PE=3 SV=1",1978566,NA,NA,3,NA,2,NA
"507","tr|A0A5F0D7S6|A0A5F0D7S6_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. HLT2-28 OX=1259146 GN=E3O48_16070 PE=3 SV=1",1259146,NA,NA,3,NA,2,NA
"508","tr|A0A5F0DKK9|A0A5F0DKK9_9MICO",2,2319,"Ferritin-like domain-containing protein OS=Cryobacterium sp. MDB2-33-2 OX=1259179 GN=E3O59_18905 PE=4 SV=1",1259179,NA,NA,NA,NA,7,2
"509","tr|A0A5F0DNX0|A0A5F0DNX0_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. MDB2-33-2 OX=1259179 GN=E3O59_14240 PE=3 SV=1",1259179,NA,NA,3,NA,2,NA
"510","tr|A0A5F0DPA8|A0A5F0DPA8_9MICO",2,2305,"30S ribosomal protein S9 OS=Cryobacterium sp. MDB2-33-2 OX=1259179 GN=rpsI PE=3 SV=1",1259179,NA,NA,NA,NA,NA,6
"511","tr|A0A5F0DQJ1|A0A5F0DQJ1_9MICO",2,2860,"Amino acid ABC transporter substrate-binding protein OS=Cryobacterium sp. MDB2-33-2 OX=1259179 GN=E3O59_07640 PE=4 SV=1",1259179,NA,NA,NA,3,3,NA
"512","tr|A0A5F0DZL1|A0A5F0DZL1_9MICO",2,2860,"Amino acid ABC transporter substrate-binding protein OS=Cryobacterium sp. MDB1-5 OX=1259175 GN=E3O46_09870 PE=4 SV=1",1259175,NA,NA,NA,3,3,NA
"513","tr|A0A5F0G124|A0A5F0G124_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. TMT2-16 OX=1259247 GN=E3T25_15955 PE=3 SV=1",1259247,NA,NA,3,NA,2,NA
"514","tr|A0A5J4F5S3|A0A5J4F5S3_MICAE",2,2756,"Global nitrogen regulator OS=Microcystis aeruginosa NIES-4325 OX=2569534 GN=ntcA_3 PE=4 SV=1",2569534,NA,2,NA,NA,NA,NA
"515","tr|A0A5J5IGS5|A0A5J5IGS5_9BACT",3,1829,"SusC/RagA family TonB-linked outer membrane protein OS=Chitinophagaceae bacterium BR5-29 OX=2607284 GN=FW778_15595 PE=3 SV=1",2607284,NA,NA,3,5,7,NA
"516","tr|A0A5J5IIH8|A0A5J5IIH8_9BACT",3,2727,"TonB-dependent receptor OS=Chitinophagaceae bacterium BR5-29 OX=2607284 GN=FW778_01460 PE=4 SV=1",2607284,NA,2,2,3,NA,NA
"517","tr|A0A5M6IWH9|A0A5M6IWH9_9PROT",2,1604,"30S ribosomal protein S19 OS=Rhodovastum atsumiense OX=504468 GN=rpsS PE=3 SV=1",504468,5,NA,14,NA,NA,NA
"518","tr|A0A5M8ZB11|A0A5M8ZB11_9PROT",5,1327,"OmpA family protein OS=Acetobacter sp. DmW_136 OX=2591091 GN=FKW31_09425 PE=4 SV=1",2591091,3,4,8,4,6,NA
"519","tr|A0A5P9HX14|A0A5P9HX14_9RHOB",2,1604,"30S ribosomal protein S19 OS=Roseovarius sp. THAF9 OX=2587847 GN=rpsS PE=3 SV=1",2587847,5,NA,14,NA,NA,NA
"520","tr|A0A5P9Q5T0|A0A5P9Q5T0_9MICO",2,2498,"Alpha-glucosides-binding periplasmic protein AglE OS=Luteimicrobium xylanilyticum OX=1133546 GN=KDY119_00231 PE=4 SV=1",1133546,NA,NA,4,4,NA,NA
"521","tr|A0A5Q2FDH3|A0A5Q2FDH3_9ACTN",5,1749,"Phosphoesterase OS=Raineyella sp. CBA3103 OX=2662261 GN=Rai3103_07110 PE=4 SV=1",2662261,2,NA,2,7,3,4
"522","tr|A0A5Q3HJG5|A0A5Q3HJG5_9BURK",4,2005,"Phasin family protein OS=Polaromonas sp. Pch-P OX=2082385 GN=F7R28_15960 PE=4 SV=1",2082385,NA,NA,2,NA,4,6
"523","tr|A0A5Q4HBV4|A0A5Q4HBV4_9CYAN",5,585,"ATP synthase subunit beta OS=Arthrospira sp. PLM2.Bin9 OX=2599626 GN=atpD PE=3 SV=1",2599626,NA,NA,NA,NA,10,NA
"524","tr|A0A5R9J9Q4|A0A5R9J9Q4_9PROT",9,401,"60 kDa chaperonin OS=Lichenicoccus roseus OX=2683649 GN=groL PE=3 SV=1",2683649,16,11,11,6,22,4
"525","tr|A0A5S3T5N8|A0A5S3T5N8_9GAMM",2,2461,"Fasciclin OS=Pseudoalteromonas sp. S4741 OX=579563 GN=CWC30_10375 PE=4 SV=1",579563,2,NA,5,NA,NA,NA
"526","tr|A0A5S3W1Y2|A0A5S3W1Y2_9GAMM",2,2461,"Fasciclin OS=Pseudoalteromonas sp. S3260 OX=579534 GN=CWC14_01730 PE=4 SV=1",579534,2,NA,5,NA,NA,NA
"527","tr|A0A651DZH8|A0A651DZH8_9CYAN",4,1889,"Red carotenoid-binding protein OS=Leptolyngbya sp. DLM2.Bin15 OX=2480212 GN=EA367_19480 PE=4 SV=1",2480212,NA,2,NA,NA,NA,NA
"528","tr|A0A659EYI1|A0A659EYI1_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. TMT2-23 OX=1259252 GN=E3T32_09680 PE=3 SV=1",1259252,NA,NA,3,NA,2,NA
"529","tr|A0A6D1V5U7|A0A6D1V5U7_9MICO",2,2319,"Ferritin-like domain-containing protein OS=Cryobacterium sp. MDB1-18-1 OX=1259168 GN=E3O50_14850 PE=4 SV=1",1259168,NA,NA,NA,NA,7,2
"530","tr|A0A6D1V8J5|A0A6D1V8J5_9MICO",2,2860,"Amino acid ABC transporter substrate-binding protein OS=Cryobacterium sp. MDB1-18-1 OX=1259168 GN=E3O50_10480 PE=4 SV=1",1259168,NA,NA,NA,3,3,NA
"531","tr|A0A6D1VCC6|A0A6D1VCC6_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. MDB1-18-1 OX=1259168 GN=E3O50_03930 PE=3 SV=1",1259168,NA,NA,3,NA,2,NA
"532","tr|A0A6H2BWE9|A0A6H2BWE9_DOLFA",4,2059,"Translation initiation factor IF-1 OS=Dolichospermum flos-aquae CCAP 1403/13F OX=315271 GN=infA PE=3 SV=1",315271,4,4,3,NA,NA,NA
"533","tr|A0A6H2BX44|A0A6H2BX44_DOLFA",4,1101,"Carbon dioxide-concentrating mechanism protein CcmK OS=Dolichospermum flos-aquae CCAP 1403/13F OX=315271 GN=HGD76_08075 PE=3 SV=1",315271,NA,5,3,NA,NA,NA
"534","tr|A0A6H2C3P2|A0A6H2C3P2_DOLFA",3,1142,"Response regulator transcription factor OS=Dolichospermum flos-aquae CCAP 1403/13F OX=315271 GN=HGD76_18310 PE=4 SV=1",315271,NA,9,NA,NA,NA,NA
"535","tr|A0A6H3J027|A0A6H3J027_9MICO",2,2860,"Amino acid ABC transporter substrate-binding protein OS=Cryobacterium sp. MDB2-10 OX=1259177 GN=E3O51_14440 PE=4 SV=1",1259177,NA,NA,NA,3,3,NA
"536","tr|A0A6H3J3J0|A0A6H3J3J0_9MICO",3,742,"Fn3_like domain-containing protein OS=Cryobacterium sp. MDB2-10 OX=1259177 GN=E3O51_08015 PE=3 SV=1",1259177,NA,NA,NA,18,20,6
"537","tr|A0A6H3JGG6|A0A6H3JGG6_9MICO",2,2305,"30S ribosomal protein S9 OS=Cryobacterium sp. MDB2-10 OX=1259177 GN=rpsI PE=3 SV=1",1259177,NA,NA,NA,NA,NA,6
"538","tr|A0A6H3JGY0|A0A6H3JGY0_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. MDB2-10 OX=1259177 GN=E3O51_13305 PE=3 SV=1",1259177,NA,NA,3,NA,2,NA
"539","tr|A0A6H3JMM2|A0A6H3JMM2_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. TMT2-42-4 OX=1259255 GN=E3O18_04155 PE=3 SV=1",1259255,NA,NA,3,NA,2,NA
"540","tr|A0A6H3JTC2|A0A6H3JTC2_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. TMB3-1-2 OX=1259208 GN=E3O68_00070 PE=3 SV=1",1259208,NA,NA,3,NA,2,NA
"541","tr|A0A6H3KDX6|A0A6H3KDX6_9MICO",2,3004,"Integration host factor OS=Cryobacterium sp. TMT2-10 OX=1259244 GN=E3T37_02800 PE=3 SV=1",1259244,NA,NA,3,NA,2,NA
"542","tr|A0A6H9GA60|A0A6H9GA60_MICAE",2,2756,"Global nitrogen regulator Ycf28 OS=Microcystis aeruginosa NIES-3787 OX=2517782 GN=ntcA PE=4 SV=1",2517782,NA,2,NA,NA,NA,NA
"543","tr|A0A6H9GNE1|A0A6H9GNE1_MICAE",2,2756,"Global nitrogen regulator Ycf28 OS=Microcystis aeruginosa NIES-3804 OX=2517783 GN=ntcA PE=4 SV=1",2517783,NA,2,NA,NA,NA,NA
"544","tr|A0A6H9H4H3|A0A6H9H4H3_MICAE",2,2756,"Global nitrogen regulator Ycf28 OS=Microcystis aeruginosa NIES-3806 OX=2517784 GN=ntcA PE=4 SV=1",2517784,NA,2,NA,NA,NA,NA
"545","tr|A0A6I2WWB0|A0A6I2WWB0_9ACTN",4,1689,"Cold-shock protein OS=Actinobacteria bacterium OX=1883427 GN=F2843_02450 PE=4 SV=1",1883427,2,NA,NA,6,5,6
"546","tr|A0A6I2YM16|A0A6I2YM16_9ACTN",4,2396,"10 kDa chaperonin OS=Actinobacteria bacterium OX=1883427 GN=groS PE=3 SV=1",1883427,NA,2,2,3,3,NA
"547","tr|A0A6I3HAW0|A0A6I3HAW0_9ACTN",4,1689,"Cold-shock protein (Fragment) OS=Actinobacteria bacterium OX=1883427 GN=F2537_03335 PE=4 SV=1",1883427,2,NA,NA,6,5,6
"548","tr|A0A6J4MDR0|A0A6J4MDR0_9CYAN",4,505,"Carbon dioxide-concentrating mechanism protein CcmK homolog 2 OS=uncultured Microcoleus sp. OX=259945 GN=AVDCRST_MAG84-3205 PE=3 SV=1",259945,NA,NA,3,NA,NA,NA
"549","tr|A0A6J4PGN3|A0A6J4PGN3_9CYAN",3,2132,"50S ribosomal protein L4 OS=uncultured Microcoleus sp. OX=259945 GN=rplD PE=3 SV=1",259945,NA,2,NA,NA,NA,NA
"550","tr|A0A6J6BVP1|A0A6J6BVP1_9ZZZZ",4,1689,"Unannotated protein OS=freshwater metagenome OX=449393 GN=UFOPK1380_01153 PE=4 SV=1",449393,2,NA,NA,6,5,6
"551","tr|A0A6J7FXY8|A0A6J7FXY8_9ZZZZ",4,2396,"Unannotated protein OS=freshwater metagenome OX=449393 GN=UFOPK1380_01159 PE=3 SV=1",449393,NA,2,2,3,3,NA
"552","tr|A0A6J7J4I1|A0A6J7J4I1_9ZZZZ",4,1689,"Unannotated protein OS=freshwater metagenome OX=449393 GN=UFOPK3774_00449 PE=4 SV=1",449393,2,NA,NA,6,5,6
"553","tr|A0A6L9XTJ6|A0A6L9XTJ6_9MICO",6,880,"Phosphoesterase OS=Diaminobutyricibacter tongyongensis OX=1268043 GN=G3T36_01800 PE=4 SV=1",1268043,5,2,6,12,7,5
"554","tr|A0A6L9XWW8|A0A6L9XWW8_9MICO",5,635,"Sugar ABC transporter substrate-binding protein OS=Diaminobutyricibacter tongyongensis OX=1268043 GN=G3T36_06680 PE=4 SV=1",1268043,5,NA,3,8,21,13
"555","tr|A0A6M0B6F9|A0A6M0B6F9_9CYAN",4,2059,"Translation initiation factor IF-1 OS=Moorea sp. SIO3I6 OX=2607831 GN=infA PE=3 SV=1",2607831,4,4,3,NA,NA,NA
"556","tr|A0A6M0FAA8|A0A6M0FAA8_9CYAN",4,2059,"Translation initiation factor IF-1 OS=Okeania sp. SIO1I7 OX=2607772 GN=infA PE=3 SV=1",2607772,4,4,3,NA,NA,NA
"557","tr|A0A6M0IWA6|A0A6M0IWA6_9NOSO",4,2059,"Translation initiation factor IF-1 OS=Nostoc sp. UIC 10630 OX=2100146 GN=infA PE=3 SV=1",2100146,4,4,3,NA,NA,NA
"558","tr|A0A6M8B2Y6|A0A6M8B2Y6_9CYAN",3,2018,"DUF1257 domain-containing protein OS=Thermoleptolyngbya sp. PKUAC-SCTA183 OX=2737172 GN=HPC62_04250 PE=4 SV=1",2737172,NA,5,4,NA,NA,NA
"559","tr|A0A6M8BB14|A0A6M8BB14_9CYAN",9,268,"Allophycocyanin OS=Thermoleptolyngbya sp. PKUAC-SCTA183 OX=2737172 GN=HPC62_02945 PE=3 SV=1",2737172,10,28,25,12,16,8
"560","tr|A0A6M8BJP2|A0A6M8BJP2_9CYAN",2,2670,"30S ribosomal protein S8 OS=Thermoleptolyngbya sp. PKUAC-SCTA183 OX=2737172 GN=rpsH PE=3 SV=1",2737172,2,2,NA,NA,NA,NA
"561","tr|A0A6M8BNP3|A0A6M8BNP3_9CYAN",4,2059,"Translation initiation factor IF-1 OS=Thermoleptolyngbya sp. PKUAC-SCTA183 OX=2737172 GN=infA PE=3 SV=1",2737172,4,4,3,NA,NA,NA
"562","tr|A0A6N8DSX5|A0A6N8DSX5_RHOAC",2,1604,"30S ribosomal protein S19 OS=Rhodoblastus acidophilus OX=1074 GN=rpsS PE=3 SV=1",1074,5,NA,14,NA,NA,NA
"563","tr|A0A6N8FWJ4|A0A6N8FWJ4_9CHRO",2,2803,"Potassium-transporting ATPase ATP-binding subunit OS=Gloeocapsopsis sp. AAB1 = 1H9 OX=1433147 GN=kdpB PE=3 SV=1",1433147,NA,2,3,NA,NA,NA
"564","tr|A0A6P0IDV7|A0A6P0IDV7_9CYAN",4,2059,"Translation initiation factor IF-1 OS=Moorea sp. SIO3I7 OX=2607832 GN=infA PE=3 SV=1",2607832,4,4,3,NA,NA,NA
"565","tr|A0A6P0Q9P7|A0A6P0Q9P7_9CYAN",4,1101,"BMC domain-containing protein OS=Microcoleus sp. SIO2G3 OX=2607795 GN=F6K28_09415 PE=3 SV=1",2607795,NA,5,3,NA,NA,NA
"566","tr|A0A6P0QDM5|A0A6P0QDM5_9CYAN",4,2059,"Translation initiation factor IF-1 OS=Microcoleus sp. SIO2G3 OX=2607795 GN=infA PE=3 SV=1",2607795,4,4,3,NA,NA,NA
"567","tr|A0A6P0Z2K7|A0A6P0Z2K7_9CYAN",3,1249,"DNA-directed RNA polymerase subunit (Fragment) OS=Merismopedia sp. SIO2A8 OX=2607779 GN=F6K09_24125 PE=3 SV=1",2607779,NA,6,NA,NA,NA,NA
"568","tr|A0A6P1GPJ7|A0A6P1GPJ7_SPHYA",3,2608,"TonB-dependent receptor OS=Sphingobium yanoikuyae OX=13690 GN=GS397_21220 PE=3 SV=1",13690,NA,NA,NA,2,3,3
"569","tr|A0A6P4HNF1|A0A6P4HNF1_DROKI",5,1327,"outer membrane protein-like OS=Drosophila kikkawai OX=30033 GN=LOC108071112 PE=3 SV=1",30033,3,4,8,4,6,NA
"570","tr|A0A6P4LDI2|A0A6P4LDI2_DROBP",5,1327,"outer membrane protein-like OS=Drosophila bipectinata OX=42026 GN=LOC108134338 PE=3 SV=1",42026,3,4,8,4,6,NA
"571","tr|A0A6S7C5L8|A0A6S7C5L8_9BURK",2,2990,"Ribose import binding protein RbsB OS=Pararobbsia alpina OX=621374 GN=rbsB_5 PE=4 SV=1",621374,3,NA,2,NA,NA,NA
"572","tr|A0A7C4C091|A0A7C4C091_9BACT",6,675,"60 kDa chaperonin OS=Bryobacteraceae bacterium OX=2212468 GN=groL PE=3 SV=1",2212468,4,17,5,NA,15,3
"573","tr|A0A7D4B8G3|A0A7D4B8G3_9BACT",3,2260,"SusC/RagA family TonB-linked outer membrane protein OS=Hymenobacter sp. BRD128 OX=2675878 GN=GKZ68_08090 PE=3 SV=1",2675878,NA,NA,NA,2,3,5
"574","tr|A0A7D6EQQ9|A0A7D6EQQ9_9ACTN",2,2014,"Sugar ABC transporter substrate-binding protein OS=Actinobacteria bacterium IMCC26103 OX=1848756 GN=DLE04_04710 PE=4 SV=1",1848756,NA,NA,NA,NA,3,10
"575","tr|A0A7D7QRM1|A0A7D7QRM1_9NOSO",5,1491,"Nucleoside diphosphate kinase OS=Nostoc edaphicum CCNP1411 OX=1472755 GN=ndk PE=3 SV=1",1472755,NA,3,2,NA,2,NA
"576","tr|A0A7D7X9A6|A0A7D7X9A6_9BACT",4,1381,"Cold-shock protein OS=Granulicella sp. 5B5 OX=1617967 GN=GOB94_04560 PE=4 SV=1",1617967,4,NA,6,9,4,NA
"577","tr|A0A7G6Z4U7|A0A7G6Z4U7_9MICO",5,2034,"50S ribosomal protein L7/L12 OS=Glaciihabitans sp. INWT7 OX=2596912 GN=rplL PE=3 SV=1",2596912,NA,NA,NA,NA,4,2
"578","tr|A0A7G6Z4W2|A0A7G6Z4W2_9MICO",4,1057,"Sugar ABC transporter substrate-binding protein OS=Glaciihabitans sp. INWT7 OX=2596912 GN=F1C58_01855 PE=4 SV=1",2596912,NA,NA,4,11,8,7
"579","tr|A0A7G6Z4Y4|A0A7G6Z4Y4_9MICO",5,835,"Sugar ABC transporter substrate-binding protein OS=Glaciihabitans sp. INWT7 OX=2596912 GN=F1C58_01980 PE=4 SV=1",2596912,7,NA,4,7,14,7
"580","tr|A0A7G6Z7W3|A0A7G6Z7W3_9MICO",2,2437,"Superoxide dismutase OS=Glaciihabitans sp. INWT7 OX=2596912 GN=F1C58_07870 PE=3 SV=1",2596912,NA,NA,2,NA,4,NA
"581","tr|A0A7G6ZAY5|A0A7G6ZAY5_9MICO",2,2610,"ABC transporter substrate-binding protein OS=Glaciihabitans sp. INWT7 OX=2596912 GN=F1C58_14010 PE=4 SV=1",2596912,NA,NA,NA,NA,6,2
"582","tr|A0A7G6ZBR4|A0A7G6ZBR4_9MICO",2,2055,"Xanthorhodopsin OS=Glaciihabitans sp. INWT7 OX=2596912 GN=F1C58_15585 PE=3 SV=1",2596912,NA,4,NA,NA,8,NA
"583","tr|A0A7G6ZBU3|A0A7G6ZBU3_9MICO",2,2604,"Flagellin OS=Glaciihabitans sp. INWT7 OX=2596912 GN=F1C58_15750 PE=3 SV=1",2596912,NA,NA,NA,2,5,NA
"584","tr|A0A7G6ZCN3|A0A7G6ZCN3_9MICO",4,2430,"Adenylyl cyclase OS=Glaciihabitans sp. INWT7 OX=2596912 GN=F1C58_12045 PE=4 SV=1",2596912,2,NA,2,NA,3,2
"585","tr|A0A7G6ZCP9|A0A7G6ZCP9_9MICO",2,2869,"S8/S53 family peptidase OS=Glaciihabitans sp. INWT7 OX=2596912 GN=F1C58_12795 PE=4 SV=1",2596912,NA,NA,NA,3,2,NA
"586","tr|A0A7G7SBY3|A0A7G7SBY3_9XANT",8,1239,"Fasciclin OS=Xanthomonas sp. SI OX=2724123 GN=HEP75_03721 PE=4 SV=1",2724123,5,4,4,3,2,5
"587","tr|A0A7G8BGG4|A0A7G8BGG4_9BACT",4,1381,"Cold-shock protein OS=Acidobacterium sp. 4Y35 OX=2763107 GN=H7849_21625 PE=4 SV=1",2763107,4,NA,6,9,4,NA
"588","tr|A0A7G8VV73|A0A7G8VV73_9BURK",7,545,"OmpA family protein OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_12200 PE=4 SV=1",2762323,2,3,6,5,28,11
"589","tr|A0A7G8VYV3|A0A7G8VYV3_9BURK",6,723,"Fasciclin domain-containing protein OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_19635 PE=4 SV=1",2762323,4,NA,2,NA,5,NA
"590","tr|A0A7G8VZN1|A0A7G8VZN1_9BURK",4,1733,"Phasin family protein OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_21235 PE=4 SV=1",2762323,NA,NA,2,NA,8,6
"591","tr|A0A7G8W4X9|A0A7G8W4X9_9BURK",6,119,"Porin OS=Variovorax sp. PAMC28562 OX=2762323 GN=H7F36_09650 PE=4 SV=1",2762323,13,10,18,28,71,57
"592","tr|A0A7G8WTR2|A0A7G8WTR2_9ACTN",5,2090,"Bifunctional YncE family protein/alkaline phosphatase family protein OS=Nakamurella sp. PAMC28650 OX=2762325 GN=H7F38_13820 PE=4 SV=1",2762325,2,NA,2,2,2,4
"593","tr|A0A7I0EGR3|A0A7I0EGR3_9MICO",8,1380,"Glycerol kinase OS=Cryobacterium sp. TmT3-12 OX=1259266 GN=glpK PE=3 SV=1",1259266,2,4,3,2,4,NA
"594","tr|A0A7K1TH14|A0A7K1TH14_9BACT",3,1910,"SusC/RagA family TonB-linked outer membrane protein OS=Hymenobacter sp. HMF4947 OX=2682976 GN=GO988_14855 PE=4 SV=1",2682976,NA,NA,NA,4,6,4
"595","tr|A0A7L5ABF4|A0A7L5ABF4_9BACT",4,1381,"Cold-shock protein OS=Granulicella sp. WH15 OX=2602070 GN=FTO74_15585 PE=4 SV=1",2602070,4,NA,6,9,4,NA
"596","tr|A3IQ24|A3IQ24_9CHRO",4,2059,"Translation initiation factor IF-1 OS=Crocosphaera chwakensis CCY0110 OX=391612 GN=infA PE=3 SV=1",391612,4,4,3,NA,NA,NA
"597","tr|A3IWW6|A3IWW6_9CHRO",2,2756,"Global nitrogen regulator OS=Crocosphaera chwakensis CCY0110 OX=391612 GN=CY0110_23036 PE=4 SV=1",391612,NA,2,NA,NA,NA,NA
"598","tr|A8YIV7|A8YIV7_MICAE",2,2756,"NtcA OS=Microcystis aeruginosa PCC 7806 OX=267872 GN=ntcA PE=4 SV=1",267872,NA,2,NA,NA,NA,NA
"599","tr|B4WFW9|B4WFW9_SYNS7",3,2018,"Uncharacterized protein OS=Synechococcus sp. (strain ATCC 29403 / PCC 7335) OX=91464 GN=S7335_1634 PE=4 SV=1",91464,NA,5,4,NA,NA,NA
"600","tr|B7JZ13|B7JZ13_RIPO1",2,2756,"Transcriptional regulator  Crp/Fnr family OS=Rippkaea orientalis (strain PCC 8801) OX=41431 GN=PCC8801_2058 PE=4 SV=1",41431,NA,2,NA,NA,NA,NA
"601","tr|B9A0N9|B9A0N9_SYNP6",9,354,"60 kDa chaperonin (Fragment) OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=groEL PE=3 SV=1",269084,3,4,4,4,3,NA
"602","tr|C7JEV4|C7JEV4_ACEP3",5,1327,"Outer membrane protein OmpA OS=Acetobacter pasteurianus (strain NBRC 3283 / LMG 1513 / CCTM 1153) OX=634452 GN=ompA PE=4 SV=1",634452,3,4,8,4,6,NA
"603","tr|D3EQH2|D3EQH2_ATETH",4,2059,"Translation initiation factor IF-1 OS=Atelocyanobacterium thalassa (isolate ALOHA) OX=1453429 GN=infA PE=3 SV=1",1453429,4,4,3,NA,NA,NA
"604","tr|E0UJB3|E0UJB3_GLOV7",4,2059,"Translation initiation factor IF-1 OS=Gloeothece verrucosa (strain PCC 7822) OX=497965 GN=infA PE=3 SV=1",497965,4,4,3,NA,NA,NA
"605","tr|E6PX36|E6PX36_9ZZZZ",4,1381,"Cold shock  CspA OS=mine drainage metagenome OX=410659 GN=cspC PE=4 SV=1",410659,4,NA,6,9,4,NA
