yourlist:M202108194ABAA9BC7178C81CEBC9459510EDDEA313EEFEN	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology IDs	Gene ontology (GO)
A0A433NFC3	A0A433NFC3	A0A433NFC3_CHLFR	unreviewed	Allophycocyanin-B	apcD PCC6912_29060	Chlorogloeopsis fritschii PCC 6912	161	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A433W0X6	A0A433W0X6	A0A433W0X6_9CYAN	unreviewed	C-phycocyanin beta chain	cpcB DSM107010_27510	Chroococcidiopsis cubana SAG 39.79	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A433W4F6	A0A433W4F6	A0A433W4F6_9CYAN	unreviewed	D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase (FBPase class 2/SBPase) (EC 3.1.3.11) (EC 3.1.3.37)	DSM107010_14730	Chroococcidiopsis cubana SAG 39.79	345	GO:0006071; GO:0006094; GO:0019253; GO:0042132; GO:0046872; GO:0050278	fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; metal ion binding [GO:0046872]; sedoheptulose-bisphosphatase activity [GO:0050278]; gluconeogenesis [GO:0006094]; glycerol metabolic process [GO:0006071]; reductive pentose-phosphate cycle [GO:0019253]
A0A454Y2X6	A0A454Y2X6	A0A454Y2X6_OSTTA	unreviewed	PsbO, PSII-O, OEE1, photosystem II polypeptide, oxygen evolving enhancer 1	BE221DRAFT_192440	Ostreococcus tauri	302	GO:0009654; GO:0010207; GO:0010242; GO:0042549	photosystem II oxygen evolving complex [GO:0009654]; oxygen evolving activity [GO:0010242]; photosystem II assembly [GO:0010207]; photosystem II stabilization [GO:0042549]
A0A480AM57	A0A480AM57	A0A480AM57_9CYAN	unreviewed	Uncharacterized protein	NIES80_28660	Dolichospermum planctonicum	167	GO:0009294	DNA mediated transformation [GO:0009294]
A0A482S5I0	A0A482S5I0	A0A482S5I0_9ARCH	unreviewed	Elongation factor Tu (Fragment)	tuf EON65_58015	archaeon	383	GO:0003746; GO:0003924; GO:0005525	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A498C671	A0A498C671	A0A498C671_9MICO	unreviewed	Elongation factor Tu (EF-Tu)	tuf C7474_2651	Microbacterium telephonicum	397	GO:0003746; GO:0003924; GO:0005525; GO:0005737	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A4D9CAP6	A0A4D9CAP6	A0A4D9CAP6_MASLA	unreviewed	NAD(P)H-quinone oxidoreductase subunit H (EC 7.1.1.-) (NAD(P)H dehydrogenase, subunit H) (NADH-plastoquinone oxidoreductase subunit H) (NDH-1 subunit H) (NDH-H)	ndhH BLD44_020570	Mastigocladus laminosus UU774	394	GO:0016655; GO:0019684; GO:0031676; GO:0048038; GO:0051287	plasma membrane-derived thylakoid membrane [GO:0031676]; NAD binding [GO:0051287]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; quinone binding [GO:0048038]; photosynthesis, light reaction [GO:0019684]
A0A4D9CD13	A0A4D9CD13	A0A4D9CD13_MASLA	unreviewed	Phycocyanin subunit beta	BLD44_017985	Mastigocladus laminosus UU774	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A4P6FBL6	A0A4P6FBL6	A0A4P6FBL6_9MICO	unreviewed	Elongation factor Tu (EF-Tu)	tuf ET445_07130	Agromyces protaetiae	396	GO:0003746; GO:0003924; GO:0005525; GO:0005737	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A4P6MVP0	A0A4P6MVP0	A0A4P6MVP0_9MICO	unreviewed	SPFH/Band 7/PHB domain protein	EXU32_06265	Janibacter limosus	386	GO:0016020	membrane [GO:0016020]
A0A4Q9J4L4	A0A4Q9J4L4	A0A4Q9J4L4_9CYAN	unreviewed	Phycocyanin subunit beta	B4U84_18545	Westiellopsis prolifica IICB1	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A4R1FFA2	A0A4R1FFA2	A0A4R1FFA2_9MICO	unreviewed	SPFH domain-containing protein	EDC82_1455	Dermacoccus sp. SAI-028	418	GO:0016020	membrane [GO:0016020]
A0A4R7I2G4	A0A4R7I2G4	A0A4R7I2G4_9ACTN	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL BDK89_3410	Ilumatobacter fluminis	545	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A4Z2D895	A0A4Z2D895	A0A4Z2D895_SCHJA	unreviewed	Tubulin alpha-3 chain	EWB00_003471	Schistosoma japonicum (Blood fluke)	813	GO:0003924; GO:0005200; GO:0005525; GO:0005874; GO:0007017	microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]
A0A512PFC6	A0A512PFC6	A0A512PFC6_9CELL	unreviewed	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)	glpK CSO01_26130	Cellulomonas soli	507	GO:0004370; GO:0005524; GO:0006072; GO:0019563	ATP binding [GO:0005524]; glycerol kinase activity [GO:0004370]; glycerol catabolic process [GO:0019563]; glycerol-3-phosphate metabolic process [GO:0006072]
A0A520EDN1	A0A520EDN1	A0A520EDN1_RHOSO	unreviewed	Elongation factor Tu (EF-Tu)	tuf EOP29_26950	Rhodococcus sp.	397	GO:0003746; GO:0003924; GO:0005525; GO:0005737	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A522BGJ9	A0A522BGJ9	A0A522BGJ9_9ACTN	unreviewed	Cold-shock protein	EPN99_12420	Frankiales bacterium	67	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A522BRW9	A0A522BRW9	A0A522BRW9_9ACTN	unreviewed	60 kDa chaperonin (Fragment)	EPN99_09250	Frankiales bacterium	329	GO:0005524; GO:0016887; GO:0042026	ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein refolding [GO:0042026]
A0A522BUZ4	A0A522BUZ4	A0A522BUZ4_9ACTN	unreviewed	Cold-shock protein	EPN99_07700	Frankiales bacterium	67	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A524RNF3	A0A524RNF3	A0A524RNF3_9CYAN	unreviewed	Bleomycin hydrolase	ERJ67_05715	Aphanocapsa feldmannii 277cV	191	GO:0015979; GO:0016787; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; hydrolase activity [GO:0016787]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A524RT57	A0A524RT57	A0A524RT57_9CYAN	unreviewed	Bleomycin hydrolase	ERJ68_07500	Aphanocapsa feldmannii 277cI	191	GO:0015979; GO:0016787; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; hydrolase activity [GO:0016787]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A543LW41	A0A543LW41	A0A543LW41_9MICO	unreviewed	SPFH domain-containing protein	FHW52_2536	Terrabacter sp. 3264	393	GO:0016021	integral component of membrane [GO:0016021]
A0A543MNJ0	A0A543MNJ0	A0A543MNJ0_9MICO	unreviewed	SPFH domain-containing protein	FHW53_3275	Terrabacter lapilli	393	GO:0016021	integral component of membrane [GO:0016021]
A0A551YMF4	A0A551YMF4	A0A551YMF4_MICAE	unreviewed	Phycocyanin subunit beta	EWV85_01010	Microcystis aeruginosa Ma_QC_C_20070703_M131	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A552CR45	A0A552CR45	A0A552CR45_9CHRO	unreviewed	Phycocyanin subunit beta	EWV60_05910	Microcystis sp. Msp_OC_L_20101000_S702	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A552G5B4	A0A552G5B4	A0A552G5B4_MICAE	unreviewed	Phycocyanin subunit beta	EWV57_02325	Microcystis aeruginosa Ma_QC_Ch_20071001_S25D	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A552GYL2	A0A552GYL2	A0A552GYL2_MICAE	unreviewed	Phycocyanin subunit beta	EWV48_06565	Microcystis aeruginosa Ma_QC_C_20070823_S13	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A552L852	A0A552L852	A0A552L852_9CHRO	unreviewed	Phycocyanin subunit beta	EWV40_20300	Microcystis flos-aquae Mf_WU_F_19750830_S460	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A552Q1A5	A0A552Q1A5	A0A552Q1A5_9CHRO	unreviewed	Phycocyanin subunit beta	EWV53_09420	Microcystis panniformis Mp_MB_F_20051200_S9	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A560W6E5	A0A560W6E5	A0A560W6E5_9MICO	unreviewed	SPFH domain-containing protein	FB557_2578	Marihabitans asiaticum	397	GO:0016020	membrane [GO:0016020]
A0A5A5RV57	A0A5A5RV57	A0A5A5RV57_MICAE	unreviewed	C-phycocyanin beta chain	cpcB MiTe_03883	Microcystis aeruginosa NIES-2520	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A5C4N3F5	A0A5C4N3F5	A0A5C4N3F5_9RHOB	unreviewed	Carbohydrate ABC transporter substrate-binding protein	FHG66_03890	Rubellimicrobium rubrum	578	GO:0022857	transmembrane transporter activity [GO:0022857]
A0A5C8ZK52	A0A5C8ZK52	A0A5C8ZK52_9ACTN	unreviewed	SPFH/Band 7/PHB domain protein	FMM08_04885	Quadrisphaera sp. DD2A	386	GO:0016020	membrane [GO:0016020]
A0A5J5LSS3	A0A5J5LSS3	A0A5J5LSS3_MICAE	unreviewed	Phycocyanin subunit beta	EZJ55_09340	Microcystis aeruginosa EAWAG127a	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A5Q4E0A8	A0A5Q4E0A8	A0A5Q4E0A8_9CYAN	unreviewed	S-layer protein	EA368_16665	Leptolyngbya sp. DLM2.Bin27	484	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A5Q4E2A5	A0A5Q4E2A5	A0A5Q4E2A5_9CYAN	unreviewed	Flavin reductase	EA368_15265	Leptolyngbya sp. DLM2.Bin27	160	GO:0010181	FMN binding [GO:0010181]
A0A651E7L0	A0A651E7L0	A0A651E7L0_9CYAN	unreviewed	AICAR transformylase (EC 2.1.2.3) (EC 3.5.4.10) (IMP synthase) (Inosinicase) (Phosphoribosylaminoimidazolecarboxamide formyltransferase) (Fragment)	purH EA367_19395	Leptolyngbya sp. DLM2.Bin15	506	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
A0A653SK57	A0A653SK57	A0A653SK57_9MICC	unreviewed	Elongation factor Tu (EF-Tu)	tufA tuf ARTHRO9AX_180636	Arthrobacter sp. 9AX	396	GO:0003746; GO:0003924; GO:0005525; GO:0005737	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
A0A654SIR4	A0A654SIR4	A0A654SIR4_9CYAN	unreviewed	Phycobilisome core component	apha_02106	Chrysosporum ovalisporum	169	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A6B3MM63	A0A6B3MM63	A0A6B3MM63_9CYAN	unreviewed	Glutathione S-transferase family protein	F6K53_02720	Moorea sp. SIO4A1	199	GO:0006749; GO:0016740	transferase activity [GO:0016740]; glutathione metabolic process [GO:0006749]
A0A6B3MPQ3	A0A6B3MPQ3	A0A6B3MPQ3_9CYAN	unreviewed	Allophycocyanin subunit beta	apcB F6K53_18625	Moorea sp. SIO4A1	169	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A6B3NQ99	A0A6B3NQ99	A0A6B3NQ99_9CYAN	unreviewed	Iron uptake porin	F6J89_28275	Symploca sp. SIO1C4	660	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A6B9VPS5	A0A6B9VPS5	A0A6B9VPS5_9FLOR	unreviewed	Phycocyanin beta subunit	cpcB	Lympha mucosa	172	GO:0009535; GO:0015979; GO:0018298; GO:0030089	chloroplast thylakoid membrane [GO:0009535]; phycobilisome [GO:0030089]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A6G3YWD8	A0A6G3YWD8	A0A6G3YWD8_9CYAN	unreviewed	Bleomycin hydrolase	F6K42_06510	Leptolyngbya sp. SIO1D8	184	GO:0015979; GO:0016787; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; hydrolase activity [GO:0016787]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A6G3ZC93	A0A6G3ZC93	A0A6G3ZC93_9CYAN	unreviewed	Bleomycin hydrolase (Fragment)	F6K42_36240	Leptolyngbya sp. SIO1D8	148	GO:0015979; GO:0016787; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; hydrolase activity [GO:0016787]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A6H2C5R0	A0A6H2C5R0	A0A6H2C5R0_DOLFA	unreviewed	DNA recombination-mediator protein A	HGD76_23220	Dolichospermum flos-aquae CCAP 1403/13F	167		
A0A6H9GF90	A0A6H9GF90	A0A6H9GF90_MICAE	unreviewed	NAD(P)H-quinone oxidoreductase subunit H (EC 7.1.1.-) (NAD(P)H dehydrogenase, subunit H) (NADH-plastoquinone oxidoreductase subunit H) (NDH-1 subunit H) (NDH-H)	ndhH NIES3787_13610	Microcystis aeruginosa NIES-3787	394	GO:0016655; GO:0019684; GO:0031676; GO:0048038; GO:0051287	plasma membrane-derived thylakoid membrane [GO:0031676]; NAD binding [GO:0051287]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; quinone binding [GO:0048038]; photosynthesis, light reaction [GO:0019684]
A0A6H9GLU2	A0A6H9GLU2	A0A6H9GLU2_MICAE	unreviewed	Phycocyanin beta subunit	cpcB1 NIES3804_01100	Microcystis aeruginosa NIES-3804	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A6H9HBX4	A0A6H9HBX4	A0A6H9HBX4_MICAE	unreviewed	Phycocyanin beta subunit	cpcB1 NIES3806_29580	Microcystis aeruginosa NIES-3806	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A6I1G828	A0A6I1G828	A0A6I1G828_9MICO	unreviewed	SPFH/Band 7/PHB domain protein	GA707_07790	Tetrasphaera sp. F2B08	395	GO:0016020	membrane [GO:0016020]
A0A6I3DDT0	A0A6I3DDT0	A0A6I3DDT0_9ACTN	unreviewed	Fasciclin domain-containing protein	F2634_00725 F2736_01590 F2782_04370	Actinobacteria bacterium	179	GO:0005576	extracellular region [GO:0005576]
A0A6I3DPJ9	A0A6I3DPJ9	A0A6I3DPJ9_9ACTN	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL F2630_01590 F2645_02080	Actinobacteria bacterium	544	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A6I3GK62	A0A6I3GK62	A0A6I3GK62_9ACTN	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL F2622_01920 F2958_01525	Actinobacteria bacterium	543	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A6I5NPE5	A0A6I5NPE5	A0A6I5NPE5_9CYAN	unreviewed	Peroxiredoxin (EC 1.11.1.15)	F6K00_18515	Leptolyngbya sp. SIOISBB	211	GO:0004601; GO:0051920	peroxidase activity [GO:0004601]; peroxiredoxin activity [GO:0051920]
A0A6I5Q2W1	A0A6I5Q2W1	A0A6I5Q2W1_9CYAN	unreviewed	DNA starvation/stationary phase protection protein	F6K11_28130	Leptolyngbya sp. SIO3F4	180	GO:0008199; GO:0016722	ferric iron binding [GO:0008199]; oxidoreductase activity, acting on metal ions [GO:0016722]
A0A6J4KYD4	A0A6J4KYD4	A0A6J4KYD4_9ACTN	unreviewed	Heat shock protein 60 family chaperone GroEL (Fragment)	AVDCRST_MAG16-603	uncultured Frankineae bacterium	156	GO:0005524; GO:0016887	ATP binding [GO:0005524]; ATPase activity [GO:0016887]
A0A6J4M248	A0A6J4M248	A0A6J4M248_9CYAN	unreviewed	Glutamine synthetase (EC 6.3.1.2)	AVDCRST_MAG84-2674	uncultured Microcoleus sp.	473	GO:0004356; GO:0005524; GO:0006542	ATP binding [GO:0005524]; glutamate-ammonia ligase activity [GO:0004356]; glutamine biosynthetic process [GO:0006542]
A0A6J4MNP6	A0A6J4MNP6	A0A6J4MNP6_9ACTN	unreviewed	Cold shock protein of CSP family	AVDCRST_MAG16-3254	uncultured Frankineae bacterium	67	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A6J4PL82	A0A6J4PL82	A0A6J4PL82_9CYAN	unreviewed	Phycocyanin alpha chain	AVDCRST_MAG84-6886	uncultured Microcoleus sp.	162	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A6J4VTF8	A0A6J4VTF8	A0A6J4VTF8_9CYAN	unreviewed	Uncharacterized protein	AVDCRST_MAG81-4485	uncultured Synechococcales cyanobacterium	241		
A0A6J4VUE5	A0A6J4VUE5	A0A6J4VUE5_9CYAN	unreviewed	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	ftsH AVDCRST_MAG81-4833	uncultured Synechococcales cyanobacterium	627	GO:0004176; GO:0004222; GO:0005524; GO:0008270; GO:0016021; GO:0030163; GO:0031676; GO:0051301	integral component of membrane [GO:0016021]; plasma membrane-derived thylakoid membrane [GO:0031676]; ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; cell division [GO:0051301]; protein catabolic process [GO:0030163]
A0A6J6KDS3	A0A6J6KDS3	A0A6J6KDS3_9ZZZZ	unreviewed	Unannotated protein	UFOPK2242_00145 UFOPK2996_00329 UFOPK3317_00826	freshwater metagenome	179		
A0A6J7NMB7	A0A6J7NMB7	A0A6J7NMB7_9ZZZZ	unreviewed	Unannotated protein	UFOPK2925_00349 UFOPK3974_00931 UFOPK4071_00081	freshwater metagenome	179		
A0A6L9Y976	A0A6L9Y976	A0A6L9Y976_9CYAN	unreviewed	Allophycocyanin subunit beta	apcB F6K46_02230	Moorea sp. SIO3E8	169	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A6L9ZDR8	A0A6L9ZDR8	A0A6L9ZDR8_9CYAN	unreviewed	Allophycocyanin subunit beta (Fragment)	F6K55_38570	Moorea sp. SIO4A3	115	GO:0015979; GO:0018298; GO:0030089	phycobilisome [GO:0030089]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A6M0AS77	A0A6M0AS77	A0A6M0AS77_9CYAN	unreviewed	Allophycocyanin subunit beta	apcB F6J98_36325	Moorea sp. SIO4G2	169	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A6M0B169	A0A6M0B169	A0A6M0B169_9CYAN	unreviewed	30S ribosomal protein S7	rpsG rps7 F6K49_09160	Moorea sp. SIO3I6	156	GO:0000049; GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]
A0A6M0B664	A0A6M0B664	A0A6M0B664_9CYAN	unreviewed	Glutathione S-transferase family protein	F6K49_24880	Moorea sp. SIO3I6	199	GO:0006749; GO:0016740	transferase activity [GO:0016740]; glutathione metabolic process [GO:0006749]
A0A6M0BFS9	A0A6M0BFS9	A0A6M0BFS9_9CYAN	unreviewed	Allophycocyanin subunit beta (Fragment)	apcB F6K49_25475	Moorea sp. SIO3I6	165	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
A0A6M0ESX9	A0A6M0ESX9	A0A6M0ESX9_9CYAN	unreviewed	Iron uptake porin	F6K16_09380	Symploca sp. SIO2B6	660	GO:0008643; GO:0015288; GO:0016021	integral component of membrane [GO:0016021]; porin activity [GO:0015288]; carbohydrate transport [GO:0008643]
A0A6M0ETC3	A0A6M0ETC3	A0A6M0ETC3_9CYAN	unreviewed	AbrB family transcriptional regulator	F6K16_13585	Symploca sp. SIO2B6	136	GO:0003677	DNA binding [GO:0003677]
A0A6M0FE14	A0A6M0FE14	A0A6M0FE14_9CYAN	unreviewed	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	gnd F6K01_06360	Okeania sp. SIO1I7	473	GO:0004616; GO:0006098; GO:0019521; GO:0050661	NADP binding [GO:0050661]; phosphogluconate dehydrogenase (decarboxylating) activity [GO:0004616]; D-gluconate metabolic process [GO:0019521]; pentose-phosphate shunt [GO:0006098]
A0A6M0FGJ6	A0A6M0FGJ6	A0A6M0FGJ6_9CYAN	unreviewed	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH F6K01_10900	Okeania sp. SIO1I7	514	GO:0003937; GO:0004643; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]
A0A6M4ISF6	A0A6M4ISF6	A0A6M4ISF6_9BACT	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL HKW67_06405	Gemmatimonas sp. TET16	547	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A6M8BCR9	A0A6M8BCR9	A0A6M8BCR9_9CYAN	unreviewed	Urea ABC transporter substrate-binding protein	urtA HPC62_22040	Thermoleptolyngbya sp. PKUAC-SCTA183	442	GO:0006865	amino acid transport [GO:0006865]
A0A6M8BDV1	A0A6M8BDV1	A0A6M8BDV1_9CYAN	unreviewed	Ferrochelatase	HPC62_13280	Thermoleptolyngbya sp. PKUAC-SCTA183	443	GO:0004325; GO:0006783	ferrochelatase activity [GO:0004325]; heme biosynthetic process [GO:0006783]
A0A6M8BIF9	A0A6M8BIF9	A0A6M8BIF9_9CYAN	unreviewed	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	atpG atpC HPC62_08585	Thermoleptolyngbya sp. PKUAC-SCTA183	316	GO:0005524; GO:0031676; GO:0045261; GO:0046933	plasma membrane-derived thylakoid membrane [GO:0031676]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]
A0A6N7LU36	A0A6N7LU36	A0A6N7LU36_9GAMM	unreviewed	DUF4331 domain-containing protein	GFN93_04600	Alcanivorax sp. PA15-N-34	490		
A0A6N8FSK3	A0A6N8FSK3	A0A6N8FSK3_9CHRO	unreviewed	Phycocyanin subunit beta	BWI75_06845	Gloeocapsopsis sp. AAB1 = 1H9	172	GO:0015979; GO:0018298; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]
