yourlist:M202108196320BA52A5CE8FCD097CB85A53697A3513EA317	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology IDs	Gene ontology (GO)
A0A3N1Y7K2	A0A3N1Y7K2	A0A3N1Y7K2_9MICO	unreviewed	Dihydroxyacetone kinase DhaK subunit	EDF63_1715	Curtobacterium sp. JUb34	333	GO:0004371; GO:0006071	glycerone kinase activity [GO:0004371]; glycerol metabolic process [GO:0006071]
A0A3N5GZ65	A0A3N5GZ65	A0A3N5GZ65_9DELT	unreviewed	SDR family NAD(P)-dependent oxidoreductase	EHM78_17165	Myxococcaceae bacterium	249	GO:0016491	oxidoreductase activity [GO:0016491]
A0A3N6E982	A0A3N6E982	A0A3N6E982_9ACTN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS2 groES groS EES37_11620	Streptomyces sp. ADI91-18	102	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A3Q8VT74	A0A3Q8VT74	A0A3Q8VT74_9ACTN	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES D1J63_14445	Streptomyces sp. KPB2	102	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A3R8T569	A0A3R8T569	A0A3R8T569_9GAMM	unreviewed	NAD(P)-dependent alcohol dehydrogenase	EGJ34_10265	Stenotrophomonas sp. 278	350	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A3R9NV48	A0A3R9NV48	A0A3R9NV48_9BACT	unreviewed	Superoxide dismutase (EC 1.15.1.1)	EDE15_3016	Edaphobacter aggregans	203	GO:0004784; GO:0046872	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]
A0A3R9PBU1	A0A3R9PBU1	A0A3R9PBU1_9BACT	unreviewed	Putative cold-shock DNA-binding protein	EDE15_3772	Edaphobacter aggregans	66	GO:0003677; GO:0005737	cytoplasm [GO:0005737]; DNA binding [GO:0003677]
A0A3S0FAN3	A0A3S0FAN3	A0A3S0FAN3_9SPHI	unreviewed	DUF4331 domain-containing protein	EKK37_13365	Sphingobacteriales bacterium	592		
A0A3S7KIW6	A0A3S7KIW6	A0A3S7KIW6_9GAMM	unreviewed	Hydroxyacid dehydrogenase	C1925_17370	Stenotrophomonas sp. SAU14A_NAIMI4_5	350	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A401WCE3	A0A401WCE3	A0A401WCE3_STRRY	unreviewed	Uncharacterized protein	GKJPGBOP_06694	Streptomyces rimosus subsp. paromomycinus	547	GO:0016021	integral component of membrane [GO:0016021]
A0A401WRM1	A0A401WRM1	A0A401WRM1_ACEPA	unreviewed	Outer membrane protein OmpA	ompA NBRC3188_0678	Acetobacter pasteurianus NBRC 3188	375	GO:0009279	cell outer membrane [GO:0009279]
A0A401ZB80	A0A401ZB80	A0A401ZB80_9CHLR	unreviewed	50S ribosomal protein L9	rplI KDAU_14690	Dictyobacter aurantiacus	155	GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A401ZHY6	A0A401ZHY6	A0A401ZHY6_9CHLR	unreviewed	ABC transporter substrate-binding protein	KDAU_37880	Dictyobacter aurantiacus	573	GO:0043190; GO:0055085	ATP-binding cassette (ABC) transporter complex [GO:0043190]; transmembrane transport [GO:0055085]
A0A402AFW0	A0A402AFW0	A0A402AFW0_9CHLR	unreviewed	50S ribosomal protein L9	rplI KDK_17430	Dictyobacter kobayashii	155	GO:0003735; GO:0005840; GO:0006412; GO:0019843	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A402AKF4	A0A402AKF4	A0A402AKF4_9CHLR	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL1_2 groEL groL KDK_33050	Dictyobacter kobayashii	541	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A402B704	A0A402B704	A0A402B704_9CHLR	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL1_2 groEL groL KDA_25930	Dictyobacter alpinus	541	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A402CYT0	A0A402CYT0	A0A402CYT0_9BACT	unreviewed	SLH domain-containing protein	CCAX7_36180	Capsulimonas corticalis	663		
A0A402D103	A0A402D103	A0A402D103_9BACT	unreviewed	RNA-binding protein	CCAX7_43620	Capsulimonas corticalis	136	GO:0003676	nucleic acid binding [GO:0003676]
A0A402D124	A0A402D124	A0A402D124_9BACT	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL CCAX7_44080	Capsulimonas corticalis	548	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A402D3V1	A0A402D3V1	A0A402D3V1_9BACT	unreviewed	Uncharacterized protein	CCAX7_53860	Capsulimonas corticalis	1254	GO:0016788	hydrolase activity, acting on ester bonds [GO:0016788]
A0A411HHG1	A0A411HHG1	A0A411HHG1_9GAMM	unreviewed	OmpA family protein	ELE36_05375	Pseudolysobacter antarcticus	390	GO:0005509; GO:0006811; GO:0009279; GO:0015288; GO:0046930	cell outer membrane [GO:0009279]; pore complex [GO:0046930]; calcium ion binding [GO:0005509]; porin activity [GO:0015288]; ion transport [GO:0006811]
A0A411HIU2	A0A411HIU2	A0A411HIU2_9GAMM	unreviewed	Uncharacterized protein	ELE36_08045	Pseudolysobacter antarcticus	501		
A0A418PZ09	A0A418PZ09	A0A418PZ09_9SPHN	unreviewed	Type II and III secretion system protein family protein	D3M59_09715	Sphingomonas edaphi	485	GO:0009306	protein secretion [GO:0009306]
A0A420B7K5	A0A420B7K5	A0A420B7K5_9SPHI	unreviewed	Outer membrane receptor protein involved in Fe transport	DFQ12_2870	Sphingobacterium detergens	1104		
A0A420DQE6	A0A420DQE6	A0A420DQE6_9RHOB	unreviewed	30S ribosomal protein S19	rpsS C8N30_1067	Sulfitobacter guttiformis	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A420FK12	A0A420FK12	A0A420FK12_9SPHI	unreviewed	TonB-dependent receptor	BCY89_12910	Sphingobacterium siyangense	1089	GO:0030246	carbohydrate binding [GO:0030246]
A0A420VSW6	A0A420VSW6	A0A420VSW6_9SPHI	unreviewed	TonB-dependent receptor	D7322_21835	Sphingobacterium puteale	1104	GO:0016021	integral component of membrane [GO:0016021]
A0A420ZVA1	A0A420ZVA1	A0A420ZVA1_9MICO	unreviewed	YVTN family beta-propeller protein	DFS06_3446	Leifsonia sp. M321 24_2	962	GO:0009405; GO:0016788	hydrolase activity, acting on ester bonds [GO:0016788]; pathogenesis [GO:0009405]
A0A421ACJ9	A0A421ACJ9	A0A421ACJ9_9MICO	unreviewed	Peptide/nickel transport system substrate-binding protein	DFS06_1903	Leifsonia sp. M321 24_2	597	GO:0043190; GO:0055085	ATP-binding cassette (ABC) transporter complex [GO:0043190]; transmembrane transport [GO:0055085]
A0A428MJG2	A0A428MJG2	A0A428MJG2_9BACT	unreviewed	Carboxypeptidase family protein	EDE15_2476	Edaphobacter aggregans	1230	GO:0004180	carboxypeptidase activity [GO:0004180]
A0A428XWS9	A0A428XWS9	A0A428XWS9_9ACTN	unreviewed	Uncharacterized protein	DMB66_26420	Actinoplanes sp. ATCC 53533	559	GO:0016021	integral component of membrane [GO:0016021]
A0A429WQ88	A0A429WQ88	A0A429WQ88_9BURK	unreviewed	CHRD domain-containing protein	EJI01_14955	Variovorax sp. MHTC-1	149		
A0A430D6V1	A0A430D6V1	A0A430D6V1_9SPHN	unreviewed	TonB-dependent receptor	BRX37_14865	Sphingomonas sp. S-NIH.Pt3_0716	991	GO:0009279	cell outer membrane [GO:0009279]
A0A433MZZ8	A0A433MZZ8	A0A433MZZ8_CHLFR	unreviewed	Cell division protein SepF	sepF PCC6912_54220	Chlorogloeopsis fritschii PCC 6912	201	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
A0A433NKP5	A0A433NKP5	A0A433NKP5_CHLFR	unreviewed	Phycobilisome rod-core linker polypeptide CpcG4	cpcG4 PCC6912_22200	Chlorogloeopsis fritschii PCC 6912	255	GO:0015979; GO:0030089	phycobilisome [GO:0030089]; photosynthesis [GO:0015979]
A0A443YJN0	A0A443YJN0	A0A443YJN0_9SPHI	unreviewed	TonB-dependent receptor	DPV69_19940	Pedobacter chitinilyticus	1096	GO:0030246	carbohydrate binding [GO:0030246]
A0A445NC86	A0A445NC86	A0A445NC86_STRNE	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES FHS38_002926 SNS2_2797	Streptomyces netropsis (Streptoverticillium netropsis)	102	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A455SP99	A0A455SP99	A0A455SP99_9CHLR	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS_1 groES groS KTC_39890	Thermosporothrix sp. COM3	96	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A479ZVE4	A0A479ZVE4	A0A479ZVE4_9CYAN	unreviewed	Cell division protein SepF	sepF SR1949_06520	Sphaerospermopsis reniformis	197	GO:0000917; GO:0005737; GO:0043093	cytoplasm [GO:0005737]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]
A0A483ATT7	A0A483ATT7	A0A483ATT7_9BACT	unreviewed	Glutamate Aspartate periplasmic binding protein GltI (TC 3.A.1.3.4)	BPUTEOSOX_755	thiotrophic endosymbiont of Bathymodiolus puteoserpentis (Logatchev)	336		
A0A494TC53	A0A494TC53	A0A494TC53_9SPHN	unreviewed	Uncharacterized protein	D3Y57_14985	Sphingomonas sp. YZ-8	528		
A0A494TJJ4	A0A494TJJ4	A0A494TJJ4_9SPHN	unreviewed	OmpA family protein	D3Y57_08030	Sphingomonas sp. YZ-8	353	GO:0006811; GO:0009279; GO:0015288; GO:0046930	cell outer membrane [GO:0009279]; pore complex [GO:0046930]; porin activity [GO:0015288]; ion transport [GO:0006811]
A0A494VGX9	A0A494VGX9	A0A494VGX9_9SPHI	unreviewed	TonB-dependent receptor	HYN43_000395	Mucilaginibacter sp. HYN0043	1088	GO:0030246	carbohydrate binding [GO:0030246]
A0A494WSX2	A0A494WSX2	A0A494WSX2_9FIRM	unreviewed	60 kDa chaperonin (GroEL protein) (Protein Cpn60)	groL groEL D7024_02825	Desulfofundulus salinum	539	GO:0005524; GO:0005737; GO:0016887; GO:0042026; GO:0051082	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]
A0A495BMI0	A0A495BMI0	A0A495BMI0_9BACT	unreviewed	Lipid-binding SYLF domain-containing protein	C8E94_3529	Edaphobacter dinghuensis	231		
A0A495BSK4	A0A495BSK4	A0A495BSK4_9BACT	unreviewed	Putative cold-shock DNA-binding protein	C8E94_1593	Edaphobacter dinghuensis	66	GO:0003677; GO:0005737	cytoplasm [GO:0005737]; DNA binding [GO:0003677]
A0A495VCU3	A0A495VCU3	A0A495VCU3_9GAMM	unreviewed	PQQ-dependent dehydrogenase (Methanol/ethanol family)	BDD21_4649	Thiocapsa rosea	642	GO:0005509; GO:0016020; GO:0016614; GO:0030288	membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]; calcium ion binding [GO:0005509]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]
A0A497XS30	A0A497XS30	A0A497XS30_9SPHI	unreviewed	Carboxypeptidase family protein	BCL90_5206	Pedobacter alluvionis	1103	GO:0004180; GO:0030246	carbohydrate binding [GO:0030246]; carboxypeptidase activity [GO:0004180]
A0A497ZGQ9	A0A497ZGQ9	A0A497ZGQ9_9RHOB	unreviewed	30S ribosomal protein S19	rpsS CLV75_1462	Ruegeria conchae	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A498F1H5	A0A498F1H5	A0A498F1H5_9EURY	unreviewed	TonB-dependent receptor (Fragment)	DVK02_16125	Halobellus sp. Atlit-31R	219		
A0A4D4MRD3	A0A4D4MRD3	A0A4D4MRD3_STRAX	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES SAV14893_044900 SAV31267_041830	Streptomyces avermitilis	102	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A4P6FCN2	A0A4P6FCN2	A0A4P6FCN2_9MICO	unreviewed	Dihydroxyacetone kinase subunit DhaK (EC 2.7.1.121)	dhaK ET445_12650	Agromyces protaetiae	333	GO:0004371; GO:0006071; GO:0047324	glycerone kinase activity [GO:0004371]; phosphoenolpyruvate-glycerone phosphotransferase activity [GO:0047324]; glycerol metabolic process [GO:0006071]
A0A4P7QM43	A0A4P7QM43	A0A4P7QM43_9SPHN	unreviewed	TonB-dependent receptor	E5554_03805	Sphingobium sp. PAMC28499	991	GO:0009279	cell outer membrane [GO:0009279]
A0A4P7SV52	A0A4P7SV52	A0A4P7SV52_9MICC	unreviewed	Phosphodiesterase	E5206_10830	Arthrobacter sp. PAMC25564	558	GO:0003824	catalytic activity [GO:0003824]
A0A4P7Z9U4	A0A4P7Z9U4	A0A4P7Z9U4_9PROT	unreviewed	30S ribosomal protein S19	rpsS E6C67_30515	Azospirillum sp. TSA2s	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A4P8SSH6	A0A4P8SSH6	A0A4P8SSH6_9MICO	unreviewed	Dihydroxyacetone kinase subunit DhaK	C1N91_08290	Curtobacterium sp. SGAir0471	333	GO:0004371; GO:0006071	glycerone kinase activity [GO:0004371]; glycerol metabolic process [GO:0006071]
A0A4Q0T5T7	A0A4Q0T5T7	A0A4Q0T5T7_9BACT	unreviewed	Ysc84 domain-containing protein	GRAN_0296	Granulicella sibirica	222		
A0A4Q0T6Z0	A0A4Q0T6Z0	A0A4Q0T6Z0_9BACT	unreviewed	Cold-shock DNA-binding protein	GRAN_0671	Granulicella sibirica	66	GO:0003677; GO:0005737	cytoplasm [GO:0005737]; DNA binding [GO:0003677]
A0A4Q2RFY8	A0A4Q2RFY8	A0A4Q2RFY8_9RHIZ	unreviewed	D-ribose ABC transporter substrate-binding protein	D3272_11750	Lichenibacterium ramalinae	319		
A0A4Q2UAL5	A0A4Q2UAL5	A0A4Q2UAL5_9RHIZ	unreviewed	D-ribose ABC transporter substrate-binding protein	D3273_03680	Lichenibacterium minor	313		
A0A4Q3ALK1	A0A4Q3ALK1	A0A4Q3ALK1_9BACT	unreviewed	DUF4331 domain-containing protein	EOP83_04820	Verrucomicrobiaceae bacterium	497		
A0A4Q3MJI0	A0A4Q3MJI0	A0A4Q3MJI0_9BURK	unreviewed	Phosphate-binding protein PstS (Fragment)	pstS EOO26_13930	Comamonadaceae bacterium	282	GO:0035435; GO:0042301; GO:0043190	ATP-binding cassette (ABC) transporter complex [GO:0043190]; phosphate ion binding [GO:0042301]; phosphate ion transmembrane transport [GO:0035435]
A0A4Q3MUE5	A0A4Q3MUE5	A0A4Q3MUE5_9BURK	unreviewed	CHRD domain-containing protein	EOO26_02890	Comamonadaceae bacterium	148		
A0A4Q3TNL4	A0A4Q3TNL4	A0A4Q3TNL4_9BURK	unreviewed	Porin	EON92_03565	Burkholderiales bacterium	363	GO:0009279; GO:0015288; GO:0034220; GO:0046930	cell outer membrane [GO:0009279]; pore complex [GO:0046930]; porin activity [GO:0015288]; ion transmembrane transport [GO:0034220]
A0A4Q3VDF4	A0A4Q3VDF4	A0A4Q3VDF4_9BURK	unreviewed	DUF4331 domain-containing protein	EON93_03150	Burkholderiales bacterium	526		
A0A4Q5P2C1	A0A4Q5P2C1	A0A4Q5P2C1_9BRAD	unreviewed	Porin	EON84_18670	Bradyrhizobiaceae bacterium	510	GO:0006811; GO:0009279; GO:0015288; GO:0046930	cell outer membrane [GO:0009279]; pore complex [GO:0046930]; porin activity [GO:0015288]; ion transport [GO:0006811]
A0A4Q5QNF4	A0A4Q5QNF4	A0A4Q5QNF4_9PROT	unreviewed	HU family DNA-binding protein	EON55_18265	Alphaproteobacteria bacterium	123	GO:0003677	DNA binding [GO:0003677]
A0A4Q5QXC9	A0A4Q5QXC9	A0A4Q5QXC9_9PROT	unreviewed	Amino acid ABC transporter substrate-binding protein	EON55_11110	Alphaproteobacteria bacterium	341		
A0A4Q5R7K7	A0A4Q5R7K7	A0A4Q5R7K7_9PROT	unreviewed	Uncharacterized protein (Fragment)	EON55_05505	Alphaproteobacteria bacterium	359		
A0A4Q5SSP3	A0A4Q5SSP3	A0A4Q5SSP3_9BACT	unreviewed	Fasciclin domain-containing protein	EOO08_10455	Chitinophagaceae bacterium	196		
A0A4Q5YIU5	A0A4Q5YIU5	A0A4Q5YIU5_9BACT	unreviewed	Ferritin-like domain-containing protein	EOO16_08450	Chitinophagaceae bacterium	291		
A0A4Q7LAW6	A0A4Q7LAW6	A0A4Q7LAW6_9BURK	unreviewed	CHRD domain-containing protein	EV564_10450	Variovorax sp. BK460	149		
A0A4Q8AP71	A0A4Q8AP71	A0A4Q8AP71_9MICO	unreviewed	Monosaccharide ABC transporter substrate-binding protein (CUT2 family)	EV379_2724	Microterricola gilva	355		
A0A4Q8CZG0	A0A4Q8CZG0	A0A4Q8CZG0_9GAMM	unreviewed	Putative surface protein with fasciclin (FAS1) repeats	EV698_0662	Halopeptonella vilamensis	162		
A0A4R1ZJA9	A0A4R1ZJA9	A0A4R1ZJA9_9BURK	unreviewed	CHRD domain-containing protein	EV293_101482	Variovorax sp. BK151	149		
A0A4R2UKA8	A0A4R2UKA8	A0A4R2UKA8_9SPHN	unreviewed	TonB-dependent receptor-like protein	C8J40_101353	Sphingomonas sp. PP-CC-3A-396	1091	GO:0009279	cell outer membrane [GO:0009279]
A0A4R3ADZ0	A0A4R3ADZ0	A0A4R3ADZ0_9SPHI	unreviewed	Putative zinc-type alcohol dehydrogenase-like protein	EDF67_108140	Sphingobacterium sp. JUb78	349	GO:0008270; GO:0016491	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]
A0A4R5LA80	A0A4R5LA80	A0A4R5LA80_9BURK	unreviewed	D-ribose ABC transporter substrate-binding protein	E1N52_22445	Paraburkholderia guartelaensis	317		
A0A4R6QQ41	A0A4R6QQ41	A0A4R6QQ41_9BURK	unreviewed	RNA recognition motif-containing protein	DES47_102347	Paucibacter toxinivorans	160	GO:0003676	nucleic acid binding [GO:0003676]
A0A4R7EGY4	A0A4R7EGY4	A0A4R7EGY4_9SPHI	unreviewed	Carboxypeptidase family protein	C8K25_103270	Pedobacter sp. OK701	1096	GO:0004180	carboxypeptidase activity [GO:0004180]
A0A4R8BNE9	A0A4R8BNE9	A0A4R8BNE9_9MICO	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES EDF47_103172	Curtobacterium sp. PhB190	98	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A4R8C9W0	A0A4R8C9W0	A0A4R8C9W0_9MICO	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES EDF51_10334	Curtobacterium sp. PhB25	98	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A4R8CE56	A0A4R8CE56	A0A4R8CE56_9MICO	unreviewed	Dihydroxyacetone kinase DhaK subunit	EDF51_101535	Curtobacterium sp. PhB25	333	GO:0004371; GO:0006071	glycerone kinase activity [GO:0004371]; glycerol metabolic process [GO:0006071]
A0A4R8UUI6	A0A4R8UUI6	A0A4R8UUI6_9MICO	unreviewed	Integration host factor	E3N85_01160	Cryobacterium sp. Hz9	95	GO:0003677	DNA binding [GO:0003677]
A0A4R8V2C9	A0A4R8V2C9	A0A4R8V2C9_9MICO	unreviewed	Integration host factor	E3O06_05545	Cryobacterium sp. HLT2-23	95	GO:0003677	DNA binding [GO:0003677]
A0A4R8VRM2	A0A4R8VRM2	A0A4R8VRM2_9MICO	unreviewed	Sugar ABC transporter substrate-binding protein	E3O44_08580	Cryobacterium sp. MDB2-B	363		
A0A4R8W087	A0A4R8W087	A0A4R8W087_9MICO	unreviewed	Integration host factor	E3O42_13660	Cryobacterium sp. RHLS22-1	95	GO:0003677	DNA binding [GO:0003677]
A0A4R8W6Z5	A0A4R8W6Z5	A0A4R8W6Z5_9MICO	unreviewed	Integration host factor	E3O32_11070	Cryobacterium sp. RHLT2-21	95	GO:0003677	DNA binding [GO:0003677]
A0A4R8WG39	A0A4R8WG39	A0A4R8WG39_9MICO	unreviewed	Amino acid ABC transporter substrate-binding protein	E3O35_16945	Cryobacterium sp. MDB2-A-2	444		
A0A4R8WL27	A0A4R8WL27	A0A4R8WL27_9MICO	unreviewed	Integration host factor	E3O35_09760	Cryobacterium sp. MDB2-A-2	95	GO:0003677	DNA binding [GO:0003677]
A0A4R8WTW5	A0A4R8WTW5	A0A4R8WTW5_9MICO	unreviewed	Fn3_like domain-containing protein	E3O35_02090	Cryobacterium sp. MDB2-A-2	1012	GO:0004553; GO:0005975; GO:0016021	integral component of membrane [GO:0016021]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]
A0A4R8WXY6	A0A4R8WXY6	A0A4R8WXY6_9MICO	unreviewed	Fn3_like domain-containing protein	E3O19_05365	Cryobacterium sp. MDT1-3	1005	GO:0004553; GO:0005975; GO:0016021	integral component of membrane [GO:0016021]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]
A0A4R8XB17	A0A4R8XB17	A0A4R8XB17_9MICO	unreviewed	Integration host factor	E3O54_07535	Cryobacterium sp. TMT2-4	95	GO:0003677	DNA binding [GO:0003677]
A0A4R8XFC6	A0A4R8XFC6	A0A4R8XFC6_9MICO	unreviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES E3O45_17015	Cryobacterium sp. TMS1-20-1	98	GO:0005524; GO:0005737; GO:0006457; GO:0016887	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; protein folding [GO:0006457]
A0A4R8XPT6	A0A4R8XPT6	A0A4R8XPT6_9MICO	unreviewed	Integration host factor	E3T23_11510	Cryobacterium sp. TmT2-48-2	95	GO:0003677	DNA binding [GO:0003677]
A0A4R8Y6A8	A0A4R8Y6A8	A0A4R8Y6A8_9MICO	unreviewed	Phosphoesterase	E3T24_02775	Cryobacterium sp. TmT2-59	957	GO:0009405; GO:0016788	hydrolase activity, acting on ester bonds [GO:0016788]; pathogenesis [GO:0009405]
A0A4R8ZI77	A0A4R8ZI77	A0A4R8ZI77_9MICO	unreviewed	Integration host factor	E3T27_02185	Cryobacterium sp. TMT1-1	95	GO:0003677	DNA binding [GO:0003677]
A0A4R8ZW46	A0A4R8ZW46	A0A4R8ZW46_9MICO	unreviewed	Integration host factor	E3T55_14740	Cryobacterium sp. Hh14	95	GO:0003677	DNA binding [GO:0003677]
A0A4R9A7N5	A0A4R9A7N5	A0A4R9A7N5_9MICO	unreviewed	LemA family protein	E3T55_05280	Cryobacterium sp. Hh14	188	GO:0016021	integral component of membrane [GO:0016021]
A0A4R9BSE3	A0A4R9BSE3	A0A4R9BSE3_9MICO	unreviewed	Integration host factor	E3T51_04610	Cryobacterium sp. Sr54	95	GO:0003677	DNA binding [GO:0003677]
A0A4T2C9N3	A0A4T2C9N3	A0A4T2C9N3_9MICO	unreviewed	Integration host factor	D4765_00485	Subtercola vilae	95	GO:0003677	DNA binding [GO:0003677]
A0A4U9VFP2	A0A4U9VFP2	A0A4U9VFP2_9SPHI	unreviewed	Outer membrane receptor for ferrienterochelin and colicins	oar_3 NCTC11429_02977	Sphingobacterium thalpophilum	1091	GO:0030246	carbohydrate binding [GO:0030246]
A0A4V1L549	A0A4V1L549	A0A4V1L549_9BACT	unreviewed	Dehydrogenase	GRAN_3627	Granulicella sibirica	385	GO:0016491	oxidoreductase activity [GO:0016491]
A0A4V1NVY3	A0A4V1NVY3	A0A4V1NVY3_9BACT	unreviewed	Cold shock domain-containing protein	ESZ00_06430	Acidipila dinghuensis	66	GO:0003676; GO:0005737	cytoplasm [GO:0005737]; nucleic acid binding [GO:0003676]
A0A4V1TWG4	A0A4V1TWG4	A0A4V1TWG4_9BURK	unreviewed	Phosphate-binding protein PstS	pstS EOO26_11220	Comamonadaceae bacterium	346	GO:0035435; GO:0042301; GO:0043190	ATP-binding cassette (ABC) transporter complex [GO:0043190]; phosphate ion binding [GO:0042301]; phosphate ion transmembrane transport [GO:0035435]
A0A4V2TSQ2	A0A4V2TSQ2	A0A4V2TSQ2_9SPHI	unreviewed	Carboxypeptidase family protein	EDF67_10656	Sphingobacterium sp. JUb78	1104	GO:0004180; GO:0030246	carbohydrate binding [GO:0030246]; carboxypeptidase activity [GO:0004180]
A0A4V3ESJ8	A0A4V3ESJ8	A0A4V3ESJ8_9RHOB	unreviewed	30S ribosomal protein S19	rpsS AXZ80_3057	Thioclava sp. ES.032	92	GO:0003735; GO:0006412; GO:0015935; GO:0019843	small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
A0A4V3IBE8	A0A4V3IBE8	A0A4V3IBE8_9MICO	unreviewed	Integration host factor	E3O44_11235	Cryobacterium sp. MDB2-B	95	GO:0003677	DNA binding [GO:0003677]
A0A4V3IXW3	A0A4V3IXW3	A0A4V3IXW3_9MICO	unreviewed	Integration host factor	E3T61_05365	Cryobacterium sp. Sr59	95	GO:0003677	DNA binding [GO:0003677]
A0A4V6NAY4	A0A4V6NAY4	A0A4V6NAY4_9BACT	unreviewed	Ferritin-like domain-containing protein	EPD60_12505	Flaviaesturariibacter flavus	290		
A0A4V6QGL0	A0A4V6QGL0	A0A4V6QGL0_9MICO	unreviewed	Amino acid ABC transporter substrate-binding protein	E3O44_07705	Cryobacterium sp. MDB2-B	444		
